,0,1,7,
860,3268.84861,40,57,56
861,3269.793177,40,57,56
862,3270.905242,40,57,56
863,3271.921584,40,57,56
864,3272.87099,40,57,56
865,3273.770215,40,57,56
866,3275.003112,40,57,56
867,3276.802163,40,57,56
868,3277.984162,42,57,56
869,3279.804284,42,57,56
870,3280.899476,42,57,56
871,3281.940735,42,57,56
872,3283.952582,42,56,55
873,3285.850546,42,57,56
874,3286.850082,42,58,57
875,3287.865785,42,58,57
876,3288.848509,42,56,55
877,3289.803884,42,57,56
878,3290.809759,44,57,56
879,3291.947582,44,57,56
880,3293.836417,44,57,56
881,3294.753173,44,57,56
882,3295.851342,44,57,56
883,3296.852798,44,57,56
884,3297.821073,44,57,56
885,3298.846414,44,57,56
886,3299.830042,44,57,56
887,3301.011748,44,57,56
888,3302.848144,46,56,55
889,3303.776935,46,57,56
890,3304.839187,46,57,56
891,3305.830217,46,56,55
892,3306.793642,46,57,56
893,3307.927008,46,56,55
894,3309.785478,46,57,56
895,3310.855545,46,57,56
896,3311.857843,46,57,56
897,3312.901177,46,57,56
898,3313.827566,48,57,56
899,3314.928099,48,57,56
900,3316.816465,48,57,56
901,3317.803481,48,57,56
902,3318.806052,48,57,56
903,3319.763487,48,56,55
904,3320.855098,48,56,55
905,3321.798834,48,58,57
906,3322.883378,48,57,56
907,3323.703151,48,57,56
908,3324.711057,50,57,56
909,3325.762858,50,57,56
910,3326.9158,50,58,57
911,3327.858567,50,58,57
912,3328.812284,50,58,57
913,3329.801572,50,58,57
914,3330.799822,50,58,57
915,3331.851178,50,57,56
916,3332.748653,50,57,56
917,3333.778582,50,57,56
918,3334.799536,52,57,56
919,3335.840144,52,58,57
920,3336.789288,52,58,57
921,3338.000603,52,58,57
922,3339.904183,52,58,57
923,3340.86314,52,58,57
924,3341.923408,52,58,57
925,3343.815278,52,58,57
926,3344.957395,52,58,57
927,3346.944154,52,58,57
928,3348.840708,54,58,57
929,3349.902724,54,58,57
930,3350.868396,54,59,58
931,3351.881575,54,59,58
932,3353.150058,54,58,57
933,3354.833428,54,59,58
934,3355.901604,54,58,57
935,3356.831842,54,58,57
936,3357.753527,54,59,58
937,3358.84776,54,58,57
938,3359.827098,56,59,58
939,3360.897053,56,59,58
940,3361.957939,56,59,58
941,3364.023053,56,59,58
942,3365.902059,56,59,58
943,3366.896062,56,59,58
944,3368.036408,56,59,58
945,3369.878712,56,59,58
946,3370.890274,56,59,58
947,3371.917571,56,59,58
948,3372.843711,58,59,58
